product_id,product_url,title,size,thickness_mm,color,texture_or_material,finish,image_urls_json,image_count,single_tile_image_url,site
mytyles_ceramic-white-and-gold-highlighter-wall-tile-,https://mytyles.com/product/ceramic-white-and-gold-highlighter-wall-tile-code31255-300x600mm-high-glossy,Buy 1x2 Feet Highlighter Metallic Finish Wall Tile Code31255 Online | MyTyles,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/5bcce83-4e-348-ec1-d3ce77366815/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/5bcce83-4e-348-ec1-d3ce77366815/1200x1200.webp,mytyles
mytyles_ceramic-white-highlighter-wall-tile-code28662,https://mytyles.com/product/ceramic-white-highlighter-wall-tile-code28662-300x600mm-high-glossy,1x2 Feet Highlighter Metallic Finish Tile - High Gloss Luxury & Shine,300x450 mm,,white,ceramic,glossy,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4358677-147-c0c-4f2-da71fc4be166/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/4358677-147-c0c-4f2-da71fc4be166/1200x1200.webp,mytyles
mytyles_ceramic-beige-wall-tile-code27525LT-300x600mm,https://mytyles.com/product/ceramic-beige-wall-tile-code27525LT-300x600mm-matt,Buy 12x24 in Beige Ceramic Wall Tile code27525LT Online |,12x24 mm,,beige,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/128e456-e101-30b5-26d3-c74d6a1e2c2/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/128e456-e101-30b5-26d3-c74d6a1e2c2/1200x1200.webp,mytyles
mytyles_ceramic-mosaics-wall-tile-code9652-349-3x293-,https://mytyles.com/product/ceramic-mosaics-wall-tile-code9652-349-3x293-8m-matt,Buy Hexagon Mosiac Design Online at MYTYLES,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/a3e67e3-6cd-f007-12d-eab0b4c865aa/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/a3e67e3-6cd-f007-12d-eab0b4c865aa/1200x1200.webp,mytyles
mytyles_vitrified-cream-floor-and-wall-tile-code29090,https://mytyles.com/product/vitrified-cream-floor-and-wall-tile-code29090-600x1200mm-glossy,Buy 2x4 ft Vitrified Floor and Wall Tile Code29090 Online | Mytyles,300x450 mm,,white,vitrified,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/ad71cf-c1ac-014-cf3e-b2826e167b6/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/ad71cf-c1ac-014-cf3e-b2826e167b6/1200x1200.webp,mytyles
mytyles_ceramic-grey-moroccan-floor-and-wall-tile-cod,https://mytyles.com/product/ceramic-grey-moroccan-floor-and-wall-tile-code28241-300x300mm-matt,Buy 12x12 in Grey Moroccan Tile code28241 Online |,12x12 mm,,grey,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/adcd8a2-8008-5bbc-404d-8fc0c3755a14/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/adcd8a2-8008-5bbc-404d-8fc0c3755a14/1200x1200.webp,mytyles
mytyles_ceramic-grey-moroccan-floor-and-wall-tile-cod_0748aa,https://mytyles.com/product/ceramic-grey-moroccan-floor-and-wall-tile-code28237-300x300mm-matt,Buy 12x12 in Black Moroccan Tile code28237 Online |,12x12 mm,,black,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/d1c0475-2a1e-432-283a-5ab1812ebf4/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/d1c0475-2a1e-432-283a-5ab1812ebf4/1200x1200.webp,mytyles
mytyles_imported-highlighter-wall-tile-code17976-300x,https://mytyles.com/product/imported-highlighter-wall-tile-code17976-300x600mm-glossy,Buy White and Gold Wall Tiles for Kitchen and Bathroom,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/3c5646-dc12-4e4-7e-e7ebc8dba778/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/3c5646-dc12-4e4-7e-e7ebc8dba778/1200x1200.webp,mytyles
mytyles_vitrified-cream-slab-floor-and-wall-tile-code,https://mytyles.com/product/vitrified-cream-slab-floor-and-wall-tile-code29067-1200x2400mm-glossy,4x8 Ft Marble Design Slab Tile -code29067 Glossy Finish for Luxurious Floor and Wall Décor,300x450 mm,,white,stone,glossy,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/1f0460d-de74-0d1c-1441-6cff7cf0c642/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/1f0460d-de74-0d1c-1441-6cff7cf0c642/1200x1200.webp,mytyles
mytyles_vitrified-white-slab-floor-and-wall-tile-code,https://mytyles.com/product/vitrified-white-slab-floor-and-wall-tile-code29234-790x3000mm-matt,2.5x10 Feet Marble-Look Matte Finish Slab Tile | Elegant and Versatile,300x450 mm,,white,stone,matte,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/41ed-afa4-d50-0ccf-83ecfbdaad2c/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/41ed-afa4-d50-0ccf-83ecfbdaad2c/1200x1200.webp,mytyles
mytyles_ceramic-green-moroccan-floor-and-wall-tile-co,https://mytyles.com/product/ceramic-green-moroccan-floor-and-wall-tile-code34999-300x300mm-matt,Buy 12x12 Inch Ceramic Moroccan Tile Code34999 Online | Mytyles,12x12 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/de1e8c-3006-ad81-8f8-fa371c4b17/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/de1e8c-3006-ad81-8f8-fa371c4b17/1200x1200.webp,mytyles
mytyles_ceramic-white-kitkat-mosaic-wall-tile-code284,https://mytyles.com/product/ceramic-white-kitkat-mosaic-wall-tile-code28426-300x600mm-glossy,Buy White Kitkat Mosaic Ceramic Wall Tile Code28426 - 1x2 Ft| MyTyles,300x450 mm,,white,mosaic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/c87af7b-8564-6211-dfc1-4d07f2153300/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/c87af7b-8564-6211-dfc1-4d07f2153300/1200x1200.webp,mytyles
mytyles_ceramic-orange-kitkat-wall-tile-code35862-300,https://mytyles.com/product/ceramic-orange-kitkat-wall-tile-code35862-300x600mm-glossy,Buy 1x2ft Ceramic Geometric Wall Tile Code35862 Online | Mytyles,300x450 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/61ed555-8011-1636-fe12-fc58e1e176c/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/61ed555-8011-1636-fe12-fc58e1e176c/1200x1200.webp,mytyles
mytyles_ceramic-green-geometric-wall-tile-code32581-3,https://mytyles.com/product/ceramic-green-geometric-wall-tile-code32581-300x300mm-glossy,Buy 12x12 Inch Ceramic Geometric Wall Tile Code32581 Online | Mytyles,12x12 mm,,white,ceramic,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/da64017-528-2ca2-dbc1-d6ffc178ad6/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/da64017-528-2ca2-dbc1-d6ffc178ad6/1200x1200.webp,mytyles
mytyles_porcelain-moroccan-tile-code23441-600x600mm-m,https://mytyles.com/product/porcelain-moroccan-tile-code23441-600x600mm-matt,Buy 2 x 2 feet porcelain Moroccan code23441 | cobalt,300x450 mm,,white,porcelain,rustic,"[""https://mytyles.com/images/tile-calculator/nav_calc.webp"", ""https://mytyles.com/images/product-page/Heart.webp"", ""https://mytyles.com/images/product-page/Buy.webp"", ""https://corewebimage1.mytyles.biz/storage/prod/public/products/images/2155ce-bf37-a75-b5f-ba067f5d205/1200x1200.webp""]",4,https://corewebimage1.mytyles.biz/storage/prod/public/products/images/2155ce-bf37-a75-b5f-ba067f5d205/1200x1200.webp,mytyles
